metro,epoch,built_up_km2
atlanta,2000,248.44449604939393
atlanta,2005,274.60627132977686
atlanta,2010,311.1631246208062
atlanta,2015,341.55256320695435
atlanta,2020,349.2973581704572
austin,2000,341.429126539368
austin,2005,394.09689570770547
austin,2010,468.5490637249896
austin,2015,515.7338354865631
austin,2020,549.244321656301
charlotte,2000,193.72357763078907
charlotte,2005,217.77929348480873
charlotte,2010,254.08980798144225
charlotte,2015,285.22607416230545
charlotte,2020,312.68240935475984
dallas,2000,1055.9578663631808
dallas,2005,1104.1881099379639
dallas,2010,1161.0385936512248
dallas,2015,1200.7707171561585
dallas,2020,1229.490483884187
denver,2000,492.6616618693501
denver,2005,505.8828453061397
denver,2010,521.7666738408407
denver,2015,534.1857765320865
denver,2020,546.802112193548
houston,2000,804.562346109427
houston,2005,840.6566095299319
houston,2010,881.3423955680471
houston,2015,910.0635192762662
houston,2020,927.3763040735244
jacksonville,2000,465.50546362076636
jacksonville,2005,514.7588592437729
jacksonville,2010,575.058297300883
jacksonville,2015,615.9072558280687
jacksonville,2020,638.3535224176097
las_vegas,2000,412.4043607879347
las_vegas,2005,481.74332848901145
las_vegas,2010,541.9396817803035
las_vegas,2015,570.616440638466
las_vegas,2020,589.2190734299978
nashville,2000,290.12604598164324
nashville,2005,320.6322102988681
nashville,2010,366.1360884308734
nashville,2015,408.0164968193169
nashville,2020,430.2266408855679
orlando,2000,373.3537533276279
orlando,2005,412.730437602989
orlando,2010,452.62533496532325
orlando,2015,478.3782722875078
orlando,2020,492.219818943905
phoenix,2000,1328.4920298038455
phoenix,2005,1444.9329379251453
phoenix,2010,1575.791831978019
phoenix,2015,1654.1860687255355
phoenix,2020,1700.3606659629186
raleigh,2000,138.58784658941778
raleigh,2005,163.815880275429
raleigh,2010,203.88271069818478
raleigh,2015,232.52068739889864
raleigh,2020,246.32679814135315
san_antonio,2000,348.5324469952951
san_antonio,2005,367.42394175170335
san_antonio,2010,387.089556072598
san_antonio,2015,401.48520258910446
san_antonio,2020,413.1937610019611
tampa,2000,251.91031336617854
tampa,2005,259.97850778114827
tampa,2010,267.35233934656026
tampa,2015,272.5147761845765
tampa,2020,274.98278326941755
